interface,link_status,carrier_transitions,input_errors,bit_errors,errored_blocks,fec_corrected,fec_uncorrected,crc_errors,temperature,temp_high_alarm,temp_low_alarm,temp_high_warn,temp_low_warn,bias_current,bias_high_alarm,bias_low_alarm,tx_power_mw,tx_power_dbm,rx_power_mw,rx_power_dbm,rx_high_alarm,rx_low_alarm,rx_high_warn,rx_low_warn,timestamp,switch
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.693,Off,Off,1.054,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 12:06:29,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:11:30,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:11:30,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:11:30,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,37.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-01 12:11:30,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:16:32,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:16:32,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:16:32,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,37.0,Off,Off,Off,Off,6.688,Off,Off,1.054,0.23,0.755,-1.22,Off,Off,Off,Off,2026-09-01 12:16:32,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:21:33,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:21:33,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:21:33,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.705,Off,Off,1.056,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-01 12:21:33,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:26:34,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:26:34,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:26:34,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,37.0,Off,Off,Off,Off,6.688,Off,Off,1.053,0.22,0.755,-1.22,Off,Off,Off,Off,2026-09-01 12:26:34,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:31:35,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:31:35,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:31:35,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.711,Off,Off,1.057,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-01 12:31:35,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:36:37,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:36:37,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:36:37,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.719,Off,Off,1.058,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-01 12:36:37,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:41:38,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:41:38,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:41:38,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.677,Off,Off,1.051,0.22,0.786,-1.05,Off,Off,Off,Off,2026-09-01 12:41:38,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:46:39,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:46:39,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:46:39,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.711,Off,Off,1.057,0.24,0.801,-0.96,Off,Off,Off,Off,2026-09-01 12:46:39,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:51:41,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:51:41,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:51:41,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,37.0,Off,Off,Off,Off,6.693,Off,Off,1.054,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 12:51:41,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:56:42,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:56:42,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 12:56:42,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,37.0,Off,Off,Off,Off,6.693,Off,Off,1.054,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 12:56:42,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:01:43,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:01:43,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:01:43,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,37.0,Off,Off,Off,Off,6.711,Off,Off,1.057,0.24,0.801,-0.96,Off,Off,Off,Off,2026-09-01 13:01:43,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:06:44,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:06:44,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:06:44,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.677,Off,Off,1.051,0.22,0.786,-1.05,Off,Off,Off,Off,2026-09-01 13:06:44,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:11:46,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:11:46,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:11:46,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.693,Off,Off,1.054,0.23,0.786,-1.05,Off,Off,Off,Off,2026-09-01 13:11:46,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:16:47,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:16:47,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:16:47,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.705,Off,Off,1.056,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-01 13:16:47,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:21:48,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:21:48,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:21:48,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.801,-0.96,Off,Off,Off,Off,2026-09-01 13:21:48,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:26:49,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:26:49,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:26:49,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.697,Off,Off,1.055,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 13:26:49,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:31:51,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:31:51,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:31:51,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.691,Off,Off,1.053,0.23,0.786,-1.05,Off,Off,Off,Off,2026-09-01 13:31:51,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:36:52,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:36:52,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:36:52,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.697,Off,Off,1.054,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 13:36:52,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:41:53,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:41:53,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:41:53,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.697,Off,Off,1.054,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 13:41:53,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:46:55,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:46:55,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:46:55,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.697,Off,Off,1.056,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-01 13:46:55,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:51:56,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:51:56,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:51:56,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.705,Off,Off,1.056,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-01 13:51:56,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:56:57,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:56:57,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 13:56:57,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.71,Off,Off,1.056,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-01 13:56:57,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:01:58,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:01:58,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:01:58,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.691,Off,Off,1.053,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 14:01:58,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:07:00,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:07:00,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:07:00,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-01 14:07:00,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:12:01,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:12:01,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:12:01,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.711,Off,Off,1.058,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-01 14:12:01,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:17:02,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:17:02,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:17:02,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.691,Off,Off,1.053,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 14:17:02,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:22:04,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:22:04,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:22:04,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.703,Off,Off,1.055,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 14:22:04,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:27:05,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:27:05,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:27:05,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.697,Off,Off,1.054,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 14:27:05,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:32:06,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:32:06,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:32:06,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.711,Off,Off,1.057,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-01 14:32:06,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:37:08,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:37:08,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:37:08,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.717,Off,Off,1.058,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-01 14:37:08,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:42:09,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:42:09,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:42:09,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.679,Off,Off,1.052,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-01 14:42:09,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:47:10,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 14:47:10,sw-A
